simulation;nb convolutions;noise;length input events (in microseconds);run time;learning time;id convolution;id motion;direction;precision;recall;F1;gini;
20231109-172453;2;False;1000.0;0:00:19.068774;NA;0;1;SOUTH-WEST ↙︎;1.0;1.0;1.0;0.0;
20231109-172453;2;False;1000.0;0:00:19.068774;NA;1;0;SOUTH-EAST ↘︎;1.0;0.8571428571428571;0.923076923076923;0.0;
20231109-172515;2;False;10000.0;0:03:53.523325;NA;0;0;SOUTH-EAST ↘︎;0.7777777777777778;0.5957446808510638;0.674698795180723;0.345679012345679;
20231109-172515;2;False;10000.0;0:03:53.523325;NA;1;1;SOUTH-WEST ↙︎;1.0;0.6415094339622641;0.7816091954022989;0.0;
20231109-172914;3;False;1000.0;0:00:37.507544;NA;0;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-172914;3;False;1000.0;0:00:37.507544;NA;1;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-172914;3;False;1000.0;0:00:37.507544;NA;2;1;SOUTH-WEST ↙︎;1.0;0.75;0.8571428571428571;0.0;
20231109-172955;3;False;10000.0;0:06:21.629030;NA;0;1;SOUTH-WEST ↙︎;1.0;0.85;0.9189189189189189;0.0;
20231109-172955;3;False;10000.0;0:06:21.629030;NA;1;0;SOUTH-EAST ↘︎;0.78125;0.7142857142857143;0.7462686567164178;0.341796875;
20231109-172955;3;False;10000.0;0:06:21.629030;NA;2;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-173631;4;False;1000.0;0:00:49.646650;NA;0;2;NORTH-WEST ↖︎;0.8571428571428571;1.0;0.923076923076923;0.24489795918367352;
20231109-173631;4;False;1000.0;0:00:49.646650;NA;1;1;SOUTH-WEST ↙︎;0.5;0.5;0.5;0.5;
20231109-173631;4;False;1000.0;0:00:49.646650;NA;2;0;SOUTH-EAST ↘︎;1.0;1.0;1.0;0.0;
20231109-173631;4;False;1000.0;0:00:49.646650;NA;3;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-173726;4;False;10000.0;0:07:21.762810;NA;0;3;NORTH-EAST ↗︎;1.0;1.0;1.0;0.0;
20231109-173726;4;False;10000.0;0:07:21.762810;NA;1;1;SOUTH-WEST ↙︎;0.47619047619047616;0.3333333333333333;0.39215686274509803;0.54421768707483;
20231109-173726;4;False;10000.0;0:07:21.762810;NA;2;1;SOUTH-WEST ↙︎;0.7692307692307693;0.6666666666666666;0.7142857142857142;0.38165680473372776;
20231109-173726;4;False;10000.0;0:07:21.762810;NA;3;0;SOUTH-EAST ↘︎;1.0;0.8928571428571429;0.9433962264150945;0.0;
20231109-174505;5;False;1000.0;0:00:38.037542;NA;0;1;SOUTH-WEST ↙︎;1.0;1.0;1.0;0.0;
20231109-174505;5;False;1000.0;0:00:38.037542;NA;1;3;NORTH-EAST ↗︎;0.75;1.0;0.8571428571428571;0.6;
20231109-174505;5;False;1000.0;0:00:38.037542;NA;2;0;SOUTH-EAST ↘︎;0.75;1.0;0.8571428571428571;0.6;
20231109-174505;5;False;1000.0;0:00:38.037542;NA;3;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-174505;5;False;1000.0;0:00:38.037542;NA;4;2;NORTH-WEST ↖︎;0.5;0.5;0.5;0.5;
20231109-174548;5;False;10000.0;0:06:36.941355;NA;0;0;SOUTH-EAST ↘︎;0.4583333333333333;0.6111111111111112;0.5238095238095238;0.7606659729448491;
20231109-174548;5;False;10000.0;0:06:36.941355;NA;1;4;EAST →;1.0;0.875;0.9333333333333333;0.6597222222222221;
20231109-174548;5;False;10000.0;0:06:36.941355;NA;2;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-174548;5;False;10000.0;0:06:36.941355;NA;3;1;SOUTH-WEST ↙︎;0.4482758620689655;0.65;0.5306122448979592;0.7695133149678605;
20231109-174548;5;False;10000.0;0:06:36.941355;NA;4;3;NORTH-EAST ↗︎;0.35294117647058826;0.48;0.4067796610169491;0.45674740484429055;
20231109-175255;6;False;1000.0;0:00:45.404345;NA;0;0;SOUTH-EAST ↘︎;0.5;1.0;0.6666666666666666;0.8271604938271605;
20231109-175255;6;False;1000.0;0:00:45.404345;NA;1;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-175255;6;False;1000.0;0:00:45.404345;NA;2;6;WEST ←;0;0;0;0.0;
20231109-175255;6;False;1000.0;0:00:45.404345;NA;3;3;NORTH-EAST ↗︎;0.5;1.0;0.6666666666666666;0.7777777777777778;
20231109-175255;6;False;1000.0;0:00:45.404345;NA;4;2;NORTH-WEST ↖︎;0.5;0.6666666666666666;0.5714285714285715;0.625;
20231109-175255;6;False;1000.0;0:00:45.404345;NA;5;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-175347;6;False;10000.0;0:10:32.110459;NA;0;0;SOUTH-EAST ↘︎;0.045454545454545456;0.1;0.06250000000000001;0.7820069204152249;
20231109-175347;6;False;10000.0;0:10:32.110459;NA;1;2;NORTH-WEST ↖︎;0.10344827586206896;0.125;0.11320754716981132;0.3392299687825183;
20231109-175347;6;False;10000.0;0:10:32.110459;NA;2;5;SOUTH ↓;0.4;0.8571428571428571;0.5454545454545455;0.6702040816326531;
20231109-175347;6;False;10000.0;0:10:32.110459;NA;3;4;EAST →;0.8333333333333334;0.8;0.816326530612245;0.6253443526170799;
20231109-175347;6;False;10000.0;0:10:32.110459;NA;4;0;SOUTH-EAST ↘︎;0.21739130434782608;0.5;0.30303030303030304;0.8532778355879292;
20231109-175347;6;False;10000.0;0:10:32.110459;NA;5;3;NORTH-EAST ↗︎;0.2;0.5;0.28571428571428575;0.5379591836734694;
20231109-180528;7;False;1000.0;0:01:23.204015;NA;0;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-180528;7;False;1000.0;0:01:23.204015;NA;1;3;NORTH-EAST ↗︎;0.3333333333333333;1.0;0.5;0.8125;
20231109-180528;7;False;1000.0;0:01:23.204015;NA;2;4;EAST →;1.0;0.5;0.6666666666666666;0.75;
20231109-180528;7;False;1000.0;0:01:23.204015;NA;3;6;WEST ←;1.0;1.0;1.0;0.75;
20231109-180528;7;False;1000.0;0:01:23.204015;NA;4;2;NORTH-WEST ↖︎;0.3333333333333333;1.0;0.5;0.7999999999999999;
20231109-180528;7;False;1000.0;0:01:23.204015;NA;5;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-180528;7;False;1000.0;0:01:23.204015;NA;6;0;SOUTH-EAST ↘︎;0.3333333333333333;1.0;0.5;0.6666666666666667;
20231109-180704;7;False;10000.0;0:10:04.203445;NA;0;2;NORTH-WEST ↖︎;0.43333333333333335;0.8125;0.5652173913043479;0.6777777777777778;
20231109-180704;7;False;10000.0;0:10:04.203445;NA;1;5;SOUTH ↓;0.5;0.6666666666666666;0.5714285714285715;0.816884661117717;
20231109-180704;7;False;10000.0;0:10:04.203445;NA;2;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-180704;7;False;10000.0;0:10:04.203445;NA;3;1;SOUTH-WEST ↙︎;0.35;0.4666666666666667;0.4;0.8875432525951557;
20231109-180704;7;False;10000.0;0:10:04.203445;NA;4;0;SOUTH-EAST ↘︎;0.43478260869565216;0.625;0.5128205128205128;0.8134765625;
20231109-180704;7;False;10000.0;0:10:04.203445;NA;5;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-180704;7;False;10000.0;0:10:04.203445;NA;6;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;0;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;1;7;NORTH ↑;0.5;1.0;0.6666666666666666;0.875;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;2;0;SOUTH-EAST ↘︎;0.3333333333333333;1.0;0.5;0.8125;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;3;4;EAST →;0.6666666666666666;1.0;0.8;0.4444444444444444;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;4;3;NORTH-EAST ↗︎;0.25;0.5;0.3333333333333333;0.8775510204081632;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;5;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;6;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-181810;8;False;1000.0;0:00:59.837689;NA;7;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;0;3;NORTH-EAST ↗︎;0.041666666666666664;0.14285714285714285;0.06451612903225806;0.736328125;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;1;2;NORTH-WEST ↖︎;0.1724137931034483;0.38461538461538464;0.23809523809523808;0.6555671175858482;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;2;-1;INDETERMINATE;NA;NA;NA;NA;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;3;7;NORTH ↑;0.4666666666666667;0.7777777777777778;0.5833333333333334;0.736111111111111;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;4;0;SOUTH-EAST ↘︎;0.1111111111111111;0.375;0.17142857142857143;0.7080078125;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;5;6;WEST ←;0.4166666666666667;0.9090909090909091;0.5714285714285715;0.8355879292403746;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;6;1;SOUTH-WEST ↙︎;0.32142857142857145;0.6923076923076923;0.4390243902439025;0.7273673257023934;
20231109-181920;8;False;10000.0;0:11:17.025993;NA;7;4;EAST →;0.8235294117647058;0.7368421052631579;0.7777777777777778;0.8172635445362718;
20231110-131623;2;False;100000.0;0:18:29.466319;0:18:07.191114;0;0;SOUTH-EAST ↘︎;1.0;0.7009708737864078;0.8242009132420092;0.0;
20231110-131623;2;False;100000.0;0:18:29.466319;0:18:07.191114;1;1;SOUTH-WEST ↙︎;1.0;0.7793814432989691;0.8760139049826189;0.0;
20231110-135450;3;False;100000.0;0:25:31.049150;0:25:00.554035;0;2;NORTH-WEST ↖︎;0.9795918367346939;0.13370473537604458;0.23529411764705882;0.11380238369857743;
20231110-135450;3;False;100000.0;0:25:31.049150;0:25:00.554035;1;1;SOUTH-WEST ↙︎;1.0;0.7852760736196319;0.879725085910653;0.0;
20231110-135450;3;False;100000.0;0:25:31.049150;0:25:00.554035;2;0;SOUTH-EAST ↘︎;0.9847328244274809;0.819047619047619;0.8942807625649913;0.030068177845113953;
20231110-143548;4;False;100000.0;0:33:22.031657;0:32:42.190429;0;0;SOUTH-EAST ↘︎;1.0;0.8037735849056604;0.891213389121339;0.0;
20231110-143548;4;False;100000.0;0:33:22.031657;0:32:42.190429;1;2;NORTH-WEST ↖︎;1.0;0.8081632653061225;0.8939051918735892;0.01990000000000003;
20231110-143548;4;False;100000.0;0:33:22.031657;0:32:42.190429;2;3;NORTH-EAST ↗︎;0.9861751152073732;0.8392156862745098;0.9067796610169491;0.027267514706194707;
20231110-143548;4;False;100000.0;0:33:22.031657;0:32:42.190429;3;1;SOUTH-WEST ↙︎;0.9947643979057592;0.8085106382978723;0.8920187793427231;0.1064330090839335;
20231110-151212;5;False;100000.0;1:09:10.494055;1:08:22.649112;0;1;SOUTH-WEST ↙︎;0.8361581920903954;0.7956989247311828;0.815426997245179;0.38937958065988354;
20231110-151212;5;False;100000.0;1:09:10.494055;1:08:22.649112;1;0;SOUTH-EAST ↘︎;0.1276595744680851;0.11764705882352941;0.12244897959183672;0.222725215029425;
20231110-151212;5;False;100000.0;1:09:10.494055;1:08:22.649112;2;3;NORTH-EAST ↗︎;0.2543352601156069;0.21890547263681592;0.23529411764705882;0.5030110677083334;
20231110-151212;5;False;100000.0;1:09:10.494055;1:08:22.649112;3;2;NORTH-WEST ↖︎;0.9053254437869822;0.827027027027027;0.8644067796610169;0.23782928719008278;
20231110-151212;5;False;100000.0;1:09:10.494055;1:08:22.649112;4;4;EAST →;0.9936305732484076;0.6964285714285714;0.8188976377952756;0.3533584865554257;
20231110-162547;6;False;100000.0;1:17:39.033304;1:16:38.554830;0;-1;INDETERMINATE;NA;NA;NA;NA;
20231110-162547;6;False;100000.0;1:17:39.033304;1:16:38.554830;1;1;SOUTH-WEST ↙︎;0.4246031746031746;0.7086092715231788;0.5310173697270472;0.4886306374401612;
20231110-162547;6;False;100000.0;1:17:39.033304;1:16:38.554830;2;3;NORTH-EAST ↗︎;0.4669421487603306;0.7151898734177216;0.5650000000000001;0.5107233112492315;
20231110-162547;6;False;100000.0;1:17:39.033304;1:16:38.554830;3;0;SOUTH-EAST ↘︎;0.17613636363636365;0.1781609195402299;0.17714285714285716;0.37431701972242515;
20231110-162547;6;False;100000.0;1:17:39.033304;1:16:38.554830;4;0;SOUTH-EAST ↘︎;0.03954802259887006;0.040229885057471264;0.039886039886039885;0.39290513302875574;
20231110-162547;6;False;100000.0;1:17:39.033304;1:16:38.554830;5;4;EAST →;0.9705882352941176;0.8;0.877076411960133;0.5016157167777173;
